time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_if,max_if
4.59s,20.06,370.57,0.00,370.00,0,19.55,120.00,0.04,120.00,0.04,0.57
4.63s,20.55,391.12,0.00,390.00,0,19.75,120.00,0.03,120.00,0.35,1.12
4.69s,20.75,411.87,0.00,410.00,0,19.86,120.00,0.06,120.00,0.99,1.87
4.53s,20.86,432.73,0.00,430.00,0,19.90,120.00,0.06,120.00,1.75,2.73
5.74s,20.90,453.63,0.00,450.00,0,19.88,120.00,0.06,120.00,2.61,3.63
6.53s,20.88,474.51,0.00,470.00,0,19.76,120.00,0.06,120.00,3.35,4.51
6.51s,20.76,495.27,0.00,490.00,0,19.54,120.00,0.06,120.00,4.08,5.27
8.22s,19.54,514.81,0.00,510.00,0,19.34,120.00,0.06,120.00,4.59,4.81
6.61s,20.34,535.15,0.00,530.00,0,19.11,120.00,0.06,120.00,3.95,5.15
5.80s,20.11,555.26,0.00,550.00,0,18.91,120.00,0.06,120.00,4.03,5.26
5.40s,19.91,575.17,0.00,570.00,0,18.68,120.00,0.06,120.00,3.96,5.17
8.60s,18.68,593.86,0.00,590.00,0,18.83,120.00,0.06,120.00,3.86,3.86
4.85s,19.83,613.69,0.00,610.00,0,18.74,120.00,0.06,120.00,2.65,3.69
6.91s,19.74,633.42,0.00,630.00,0,18.71,120.00,0.03,120.00,2.41,3.42
5.92s,19.71,653.13,0.00,650.00,0,18.72,120.00,0.06,120.00,2.15,3.13
4.85s,19.72,672.85,0.00,670.00,0,19.05,120.00,0.06,120.00,2.18,2.85
6.52s,20.05,692.89,0.00,690.00,0,19.08,120.00,0.06,120.00,1.95,2.89
5.47s,20.08,712.97,0.00,710.00,0,19.14,120.00,0.06,120.00,2.04,2.97
5.53s,20.14,733.12,0.00,730.00,0,19.25,120.00,0.06,120.00,2.19,3.12
5.68s,20.25,753.37,0.00,750.00,0,19.32,120.00,0.06,120.00,2.42,3.37
5.45s,20.32,773.69,0.00,770.00,0,19.30,120.00,0.06,120.00,2.65,3.69
6.52s,20.30,793.99,0.00,790.00,0,19.29,120.00,0.06,120.00,2.99,3.99
6.00s,20.29,814.28,0.00,810.00,0,19.24,120.00,0.06,120.00,3.21,4.28
5.46s,20.24,834.52,0.00,830.00,0,19.16,120.00,0.06,120.00,3.46,4.52
5.86s,20.16,854.69,0.00,850.00,0,19.10,120.00,0.05,120.00,3.63,4.69
5.33s,20.10,874.79,0.00,870.00,0,19.04,120.00,0.05,120.00,3.70,4.79
6.10s,20.04,894.82,0.00,890.00,0,18.94,120.00,0.05,120.00,3.73,4.82
5.40s,19.94,914.76,0.00,910.00,0,18.91,120.00,0.06,120.00,3.72,4.76
6.80s,19.91,934.67,0.00,930.00,0,18.85,120.00,0.06,120.00,3.61,4.67
6.73s,19.85,954.52,0.00,950.00,0,18.82,120.00,0.06,120.00,3.50,4.52
7.01s,19.82,974.34,0.00,970.00,0,18.83,120.00,0.06,120.00,3.33,4.34
5.92s,19.83,994.17,0.00,990.00,0,18.84,120.00,0.06,120.00,3.16,4.17
6.77s,19.84,1014.02,0.00,1010.00,0,18.86,120.00,0.06,120.00,3.01,4.02
6.59s,19.86,1033.88,0.00,1030.00,0,18.87,120.00,0.06,120.00,2.91,3.88
6.09s,19.87,1053.75,0.00,1050.00,0,18.93,120.00,0.06,120.00,2.82,3.75
6.56s,19.93,1073.69,0.00,1070.00,0,18.98,120.00,0.06,120.00,2.76,3.69
5.72s,19.98,1093.67,0.00,1090.00,0,19.00,120.00,0.06,120.00,2.69,3.67
6.44s,20.00,1113.66,0.00,1110.00,0,19.04,120.00,0.06,120.00,2.75,3.66
6.10s,20.04,1133.71,0.00,1130.00,0,19.10,120.00,0.06,120.00,2.78,3.71
5.96s,20.10,1153.80,0.00,1150.00,0,19.10,120.00,0.06,120.00,2.79,3.80
5.48s,20.10,1173.91,0.00,1170.00,0,19.12,120.00,0.06,120.00,2.93,3.91
6.56s,20.12,1194.02,0.00,1190.00,0,19.12,120.00,0.06,120.00,3.02,4.02
5.89s,20.12,1214.14,0.00,1210.00,0,19.09,120.00,0.06,120.00,3.11,4.14
6.35s,20.09,1234.23,0.00,1230.00,0,19.06,120.00,0.06,120.00,3.21,4.23
