time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_q,max_q,min_if,max_if
347.64ms,13.12,771.88,0.00,758.88,0,10.20,120.00,0.29,120.00,0.00,4.13,13.00,13.00
240.69ms,13.12,785.00,0.00,771.94,0,9.18,120.00,0.26,120.00,0.00,9.26,12.65,13.06
235.03ms,13.59,798.59,0.00,785.03,0,9.02,120.00,0.48,120.00,0.00,13.18,8.05,13.56
192.65ms,1.00,799.59,0.00,798.61,0,10.20,120.00,0.49,120.00,0.00,0.71,0.49,0.98
357.94ms,13.12,812.72,0.00,799.60,0,10.16,120.00,0.39,120.00,0.00,4.17,13.12,13.12
272.67ms,13.12,825.84,0.00,812.72,0,8.98,120.00,0.50,120.00,0.00,9.20,12.71,13.12
262.48ms,13.59,839.44,0.00,825.85,0,9.02,120.00,0.50,120.00,0.00,13.19,8.07,13.59
190.51ms,1.00,840.44,0.00,839.44,0,10.20,120.00,0.50,120.00,0.00,0.72,0.50,1.00
298.95ms,13.12,853.56,0.00,840.44,1,10.16,120.00,0.50,120.00,0.00,4.16,13.12,13.12
231.59ms,13.12,866.69,0.00,853.56,1,8.93,120.00,0.50,120.00,0.00,9.26,12.71,13.12
202.43ms,13.59,880.28,0.00,866.69,1,8.93,120.00,0.50,120.00,0.00,13.45,8.92,13.59
164.83ms,1.00,881.28,0.00,880.28,1,10.20,120.00,0.50,120.00,0.00,0.97,1.00,1.00
341.59ms,13.12,894.41,0.00,881.41,0,10.20,120.00,0.44,120.00,0.00,4.16,13.00,13.00
241.42ms,13.12,907.53,0.00,894.47,0,9.18,120.00,0.26,120.00,0.00,9.26,12.65,13.06
211.08ms,13.59,921.12,0.00,907.56,0,9.02,120.00,0.48,120.00,0.00,13.53,8.05,13.56
196.27ms,1.00,922.12,0.00,921.14,0,10.09,120.00,0.49,120.00,0.00,0.96,0.49,0.99
348.55ms,13.12,935.25,0.00,922.13,0,10.16,120.00,0.39,120.00,0.00,4.17,13.12,13.12
267.45ms,13.12,948.38,0.00,935.25,0,9.06,120.00,0.50,120.00,0.00,9.04,12.71,13.12
236.50ms,13.59,961.97,0.00,948.38,0,9.02,120.00,0.50,120.00,0.00,13.30,8.07,13.59
177.10ms,1.00,962.97,0.00,961.97,1,9.96,120.00,0.25,120.00,0.00,0.97,1.00,1.00
