time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_q,max_q,min_if,max_if
13.07s,48.95,1271.21,0.00,1222.26,1,24.00,1000.00,0.06,1000.00,0.00,25.90,46.99,48.95
14.36s,1.00,1272.21,0.00,1271.21,1,24.49,1000.00,0.06,1000.00,0.00,0.98,1.00,1.00
12.89s,49.93,1322.14,0.00,1272.21,1,24.52,1000.00,0.06,1000.00,0.00,26.43,47.98,49.93
14.14s,1.00,1323.14,0.00,1322.14,1,25.01,1000.00,0.06,1000.00,0.00,0.98,1.00,1.00
14.06s,50.90,1374.04,0.00,1323.14,1,25.00,1000.00,0.06,1000.00,0.00,26.90,48.96,50.90
14.14s,1.00,1375.04,0.00,1373.14,1,25.27,49.97,0.06,1000.00,0.00,1.85,1.01,1.90
19.71s,51.45,1426.49,0.00,1375.04,1,25.25,49.98,0.91,1000.00,0.92,28.11,49.49,51.45
24.58s,27.22,1453.71,0.00,1425.04,1,25.51,49.99,0.91,1000.00,0.00,28.62,25.48,28.67
12.31s,1.00,1454.71,0.00,1453.71,1,26.25,49.97,1.51,1000.00,0.00,0.98,1.00,1.00
14.19s,53.41,1508.12,0.00,1454.71,1,26.27,50.95,1.45,1000.00,1.47,28.17,51.48,53.41
13.09s,1.00,1509.12,0.00,1504.71,1,26.25,49.95,1.48,1000.00,0.00,2.91,2.48,4.41
20.91s,51.94,1561.06,0.00,1509.15,0,26.23,50.00,3.41,1000.00,1.98,28.65,51.46,51.91
22.92s,26.98,1588.04,0.00,1559.15,1,26.12,49.95,3.45,1000.00,0.00,28.85,27.31,28.89
13.16s,1.00,1589.04,0.00,1588.04,1,26.71,49.97,3.43,1000.00,0.00,1.00,1.00,1.00
17.13s,53.89,1642.93,0.00,1589.04,1,26.71,52.19,1.93,1000.00,1.71,28.22,51.95,53.89
