time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_if,max_if
6.35s,20.28,719.64,0.00,715.00,0,19.20,120.00,0.06,120.00,3.55,4.64
5.38s,20.20,739.84,0.00,735.00,0,19.11,120.00,0.06,120.00,3.74,4.84
5.42s,20.11,759.95,0.00,755.00,0,19.03,120.00,0.05,120.00,3.87,4.95
5.65s,20.03,779.98,0.00,775.00,0,18.92,120.00,0.06,120.00,3.89,4.98
5.67s,19.92,799.90,0.00,795.00,0,18.86,120.00,0.06,120.00,3.83,4.90
6.26s,19.86,819.76,0.00,815.00,0,18.83,120.00,0.06,120.00,3.72,4.76
6.39s,19.83,839.58,0.00,835.00,0,18.80,120.00,0.06,120.00,3.54,4.58
6.62s,19.80,859.38,0.00,855.00,0,18.76,120.00,0.06,120.00,3.36,4.38
5.74s,19.76,879.14,0.00,875.00,0,18.78,120.00,0.06,120.00,3.17,4.14
6.04s,19.78,898.92,0.00,895.00,0,18.84,120.00,0.06,120.00,3.00,3.92
5.44s,19.84,918.75,0.00,915.00,0,18.87,120.00,0.06,120.00,2.81,3.75
5.32s,19.87,938.62,0.00,935.00,0,18.91,120.00,0.06,120.00,2.66,3.62
5.21s,19.91,958.53,0.00,955.00,0,18.98,120.00,0.06,120.00,2.59,3.53
6.34s,19.98,978.50,0.00,975.00,0,19.05,120.00,0.06,120.00,2.57,3.50
5.74s,20.05,998.55,0.00,995.00,0,19.08,120.00,0.06,120.00,2.61,3.55
5.36s,20.08,1018.63,0.00,1015.00,0,19.11,120.00,0.06,120.00,2.67,3.63
5.61s,20.11,1038.74,0.00,1035.00,0,19.14,120.00,0.06,120.00,2.80,3.74
5.84s,20.14,1058.88,0.00,1055.00,0,19.12,120.00,0.06,120.00,2.91,3.88
5.56s,20.12,1079.00,0.00,1075.00,0,19.14,120.00,0.06,120.00,3.00,4.00
5.29s,20.14,1099.14,0.00,1095.00,0,19.11,120.00,0.00,120.00,3.11,4.14
6.61s,20.11,1119.26,0.00,1115.00,0,19.08,120.00,0.06,120.00,3.23,4.26
5.38s,20.08,1139.34,0.00,1135.00,0,19.07,120.00,0.06,120.00,3.32,4.34
6.47s,20.07,1159.41,0.00,1155.00,0,19.03,120.00,0.05,120.00,3.34,4.41
5.56s,20.03,1179.44,0.00,1175.00,0,19.00,120.00,0.06,120.00,3.40,4.44
5.65s,20.00,1199.44,0.00,1195.00,0,18.94,120.00,0.06,120.00,3.40,4.44
5.38s,19.94,1219.37,0.00,1215.00,0,18.94,120.00,0.06,120.00,3.38,4.37
6.16s,19.94,1239.32,0.00,1235.00,0,18.92,120.00,0.06,120.00,3.27,4.32
6.88s,19.92,1259.24,0.00,1255.00,0,18.91,120.00,0.06,120.00,3.21,4.24
6.71s,19.91,1279.15,0.00,1275.00,0,18.92,120.00,0.06,120.00,3.15,4.15
6.50s,19.92,1299.08,0.00,1295.00,0,18.94,120.00,0.06,120.00,3.09,4.08
5.94s,19.94,1319.02,0.00,1315.00,0,18.95,120.00,0.06,120.00,3.01,4.02
5.74s,19.95,1338.97,0.00,1335.00,0,18.97,120.00,0.06,120.00,2.98,3.97
5.77s,19.97,1358.94,0.00,1355.00,0,18.98,120.00,0.06,120.00,2.95,3.94
6.54s,19.98,1378.91,0.00,1375.00,0,18.99,120.00,0.06,120.00,2.93,3.91
6.32s,19.99,1398.90,0.00,1395.00,0,19.00,120.00,0.06,120.00,2.93,3.90
