time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_q,max_q,min_if,max_if
36.40s,22.50,829.69,0.00,807.19,1,11.18,21.59,2.40,120.00,0.80,14.53,21.09,22.50
18.33s,1.00,830.69,0.00,827.19,1,11.06,19.90,2.67,120.00,0.00,3.14,1.75,3.50
38.70s,22.50,853.19,0.00,830.69,1,10.84,21.31,2.75,120.00,1.26,15.10,20.74,22.50
19.02s,1.00,854.19,0.00,850.69,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
39.96s,22.50,876.69,0.00,854.19,1,10.90,21.36,2.50,120.00,0.80,14.95,21.09,22.50
19.21s,1.00,877.69,0.00,874.19,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
38.45s,22.50,900.19,0.00,877.69,1,10.89,21.67,2.57,120.00,0.80,14.95,21.09,22.50
19.06s,1.00,901.19,0.00,897.69,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
37.33s,22.50,923.69,0.00,901.19,1,11.22,21.75,2.50,120.00,0.80,14.95,21.09,22.50
17.78s,1.00,924.69,0.00,921.19,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
37.75s,22.50,947.19,0.00,924.69,1,10.90,21.36,2.50,120.00,0.86,14.96,21.09,22.50
18.17s,1.00,948.19,0.00,944.69,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
36.79s,22.50,970.69,0.00,948.19,1,10.88,21.53,2.57,120.00,0.80,14.95,21.09,22.50
17.17s,1.00,971.69,0.00,968.19,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
35.58s,22.50,994.19,0.00,971.69,1,10.90,21.36,2.50,120.00,0.86,14.96,21.09,22.50
17.67s,1.00,995.19,0.00,991.69,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
37.22s,22.50,1017.69,0.00,995.19,1,11.14,21.67,2.66,120.00,0.80,14.95,21.09,22.50
17.97s,1.00,1018.69,0.00,1015.19,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
34.96s,22.50,1041.19,0.00,1018.69,1,11.02,21.48,2.50,120.00,0.80,14.95,21.09,22.50
17.71s,1.00,1042.19,0.00,1038.69,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
