time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_q,max_q,min_if,max_if
1.32ms,1.00,664.67,0.00,662.67,2,20.67,40.00,5.00,1000.00,0.00,2.00,2.00,2.00
5.33s,41.00,705.67,0.00,664.67,1,20.67,42.67,5.00,1000.00,0.00,22.33,41.00,41.00
2.25s,22.00,727.67,0.00,704.67,2,20.50,40.00,5.00,1000.00,0.00,23.00,23.00,23.00
4.21s,22.50,750.17,0.00,727.67,1,21.00,42.00,5.00,1000.00,0.00,22.50,22.50,22.50
2.52s,23.00,773.17,0.00,750.17,1,21.38,43.00,5.00,1000.00,0.00,23.00,23.00,23.00
2.80s,23.38,796.54,0.00,773.17,1,21.70,1000.00,5.00,1000.00,0.00,23.38,23.38,23.38
2.61s,19.12,815.67,0.00,796.54,1,18.38,1000.00,5.00,1000.00,0.00,19.12,19.12,19.12
2.91s,19.22,834.89,0.00,815.67,1,17.60,1000.00,5.00,1000.00,0.00,19.22,19.22,19.22
2.77s,18.38,853.26,0.00,834.89,1,16.94,1000.00,5.00,1000.00,0.00,18.38,18.38,18.38
2.78s,17.43,870.69,0.00,853.26,1,16.02,1000.00,5.00,1000.00,0.00,17.43,17.43,17.43
2.83s,16.18,886.87,0.00,870.69,1,14.83,1000.00,5.00,1000.00,0.00,16.18,16.18,16.18
2.78s,15.76,902.63,0.00,886.87,1,14.24,1000.00,5.00,1000.00,0.00,15.76,15.76,15.76
