time,r,a,ld,s,qdel,min_c,max_c,min_b,max_b,min_q,max_q,min_if,max_if
23.99s,22.50,795.37,0.00,772.87,1,11.22,21.75,2.50,120.00,0.80,14.95,21.09,22.50
20.17s,1.00,796.37,0.00,792.87,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
23.14s,22.50,818.87,0.00,796.62,0,10.90,21.36,2.50,120.00,0.84,15.05,20.51,22.25
20.70s,1.00,819.87,0.00,816.54,1,10.92,19.87,2.63,120.00,0.00,3.05,1.66,3.32
26.14s,22.50,842.37,0.00,820.06,0,11.03,21.74,2.32,120.00,0.84,14.76,20.92,22.31
20.11s,1.00,843.37,0.00,840.09,1,10.93,19.88,2.62,120.00,0.00,3.09,2.05,3.28
29.83s,22.50,865.87,0.00,843.56,0,11.22,21.33,2.32,120.00,0.82,14.84,20.56,22.30
20.46s,1.00,866.87,0.00,863.59,1,10.93,19.88,2.29,120.00,0.00,3.03,1.64,3.28
28.92s,22.50,889.37,0.00,867.06,0,10.90,21.36,2.31,120.00,0.79,14.75,20.91,22.30
19.36s,1.00,890.37,0.00,886.87,1,10.91,19.68,2.84,120.00,0.00,3.14,1.75,3.50
21.71s,22.50,912.87,0.00,890.37,1,10.94,21.56,2.50,120.00,1.26,15.08,20.74,22.50
19.93s,1.00,913.87,0.00,910.49,1,11.06,19.90,2.57,120.00,0.00,3.12,2.11,3.37
30.69s,22.50,936.37,0.00,913.87,1,11.18,21.59,2.37,120.00,0.82,14.86,20.74,22.50
19.67s,1.00,937.37,0.00,933.87,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
23.38s,22.50,959.87,0.00,937.37,1,11.02,21.48,2.50,120.00,0.85,14.79,21.09,22.50
19.92s,1.00,960.87,0.00,957.37,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
28.97s,22.50,983.37,0.00,960.87,1,10.88,21.70,2.50,120.00,0.80,14.95,21.09,22.50
20.22s,1.00,984.37,0.00,980.87,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
20.47s,22.50,1006.87,0.00,984.37,1,10.89,21.67,2.50,120.00,0.80,14.95,21.09,22.50
20.16s,1.00,1007.87,0.00,1004.37,1,11.06,19.90,2.60,120.00,0.00,3.14,1.75,3.50
24.35s,22.50,1030.37,0.00,1007.87,1,10.88,21.53,2.50,120.00,0.80,14.95,21.09,22.50
